Athlete,Group,Body weight (kg),Attempt 1,Attempt 2,Attempt 3,Snatch Result (kg),Attempt 1,Attempt 2,Attempt 3,Clean Result (kg),Total (kg),Year,Gender
Sergio Álvarez (CUB),A,55.67,120,120,125,120,152,161,166,152,272,2008,M
Wang Shin-yuan (TPE),A,55.53,115,115,120,115,146,150,150,150,265,2008,M
Amirul Hamizan Ibrahim (MAS),A,55.77,116,121,123,121,144,144,148,144,265,2008,M
Masaharu Yamada (JPN),B,55.84,103,103,106,106,142,147,153,153,259,2008,M
Pongsak Maneetong (THA),B,55.64,112,116,120,116,142,146,146,142,258,2008,M
Yasunobu Sekikawa (JPN),B,55.79,108,112,114,114,138,142,142,142,256,2008,M
Sergio Rada (COL),B,55.74,107,112,112,112,135,140,142,140,252,2008,M
Tom Goegebuer (BEL),B,55.94,109,112,114,114,132,135,137,137,251,2008,M
Vito Dellino (ITA),B,55.99,102,107,110,110,132,137,140,137,247,2008,M
Igor Grabucea (MDA),B,55.63,105,109,112,109,130,130,135,130,239,2008,M
Hossein Rezazadeh (IRI),A,162.95,200,207.5,210,210,250,263.5,263.5,262.5,472.5,2004,M
Viktors Ščerbatihs (LAT),A,140.72,197.5,202.5,205,205,242.5,247.5,250,250,455,2004,M
Velichko Cholakov (BUL),A,161.31,200,205,207.5,207.5,240,245,245,240,447.5,2004,M
Hennadiy Krasylnykov (UKR),B,118.43,195,195,200,200,235,240,240,240,440,2004,M
Oleksiy Kolokoltsev (UKR),A,125.07,190,195,195,195,235,242.5,252.5,242.5,437.5,2004,M
Paweł Najdek (POL),A,140.44,182.5,187.5,190,190,240,250,250,240,430,2004,M
Shane Hamman (USA),A,158.93,192.5,197.5,197.5,192.5,230,237.5,242.5,237.5,430,2004,M
An Yong-kwon (KOR),A,136.9,195,202.5,205,202.5,225,235,240,225,427.5,2004,M
Igor Khalilov (UZB),B,145.33,180,185,187.5,187.5,225,232.5,232.5,232.5,420,2004,M
Grzegorz Kleszcz (POL),B,124.33,185,190,192.5,190,225,230,230,225,415,2004,M
Mohamed Ihsan (EGY),B,142.72,180,185,190,185,220,227.5,232.5,220,405,2004,M
Takanobu Iwazaki (JPN),B,127.7,165,170,170,170,215,225,225,215,385,2004,M
Joel Bran (GUA),B,134.26,150,160,165,160,210,210,220,210,370,2004,M
Itte Detenamo (NRU),B,137.65,147.5,152.5,155,155,192.5,197.5,—,192.5,347.5,2004,M
Dmitry Berestov (RUS),A,104.68,187.5,192.5,195,195,225,230,232.5,230,425,2004,M
Ihor Razoronov (UKR),A,104.6,185,190,190,190,230,230,235,230,420,2004,M
Gleb Pisarevskiy (RUS),A,104.14,190,190,190,190,225,230,230,225,415,2004,M
Alexandru Bratan (MDA),A,104.24,187.5,192.5,195,192.5,222.5,227.5,227.5,222.5,415,2004,M
Ramūnas Vyšniauskas (LTU),B,103.91,182.5,187.5,190,187.5,222.5,227.5,227.5,222.5,410,2004,M
Alan Naniyev (AZE),B,104.34,190,190,195,190,220,220,227.5,220,410,2004,M
Matthias Steiner (AUT),A,104.35,182.5,182.5,182.5,182.5,222.5,230,230,222.5,405,2004,M
Aleksandr Urinov (UZB),B,102.22,180,185,190,185,210,215,215,215,400,2004,M
Mikhail Audzeyeu (BLR),B,104.93,175,180,185,185,215,225,225,215,400,2004,M
Mykola Hordiychuk (UKR),B,102.54,185,192.5,192.5,185,210,215,215,210,396,2004,M
Andre Rohde (GER),B,103.9,177.5,177.5,182.5,177.5,217.5,222.5,225,217.5,395,2004,M
Michel Batista (CUB),B,103.96,175,177.5,182.5,182.5,207.5,212.5,215,212.5,395,2004,M
Tomáš Matykiewicz (CZE),B,103.74,177.5,177.5,182.5,177.5,215,215,215,215,392.5,2004,M
Sam Pera (COK),B,104.82,130,135,140,135,165,170,175,170,305,2004,M
Eleei Lalio (ASA),B,101.44,125,132.5,140,125,160,170,177.5,170,295,2004,M
Milen Dobrev (BUL),A,92.58,180,185,187.5,187.5,217.5,220,225,220,407.5,2004,M
Khadzhimurat Akkayev (RUS),A,93.74,180,185,187.5,185,215,220,220,220,405,2004,M
Eduard Tyukin (RUS),A,93.16,177.5,182.5,185,182.5,215,220,220,215,397.5,2004,M
Shahin Nassirinia (IRI),A,92.89,172.5,177.5,177.5,172.5,215,220,225,220,392.5,2004,M
Julio Luna (VEN),A,93.35,170,170,175,170,215,220,225,220,390,2004,M
Hakan Yılmaz (TUR),A,93.45,175,180,180,175,215,225,225,215,390,2004,M
Bakhyt Akhmetov (KAZ),A,93.56,180,185,185,180,210,215,215,210,390,2004,M
Anatoliy Mushyk (UKR),A,89.33,170,175,177.5,175,207.5,212.5,215,212.5,387.5,2004,M
Santiago Martínez (ESP),B,93.35,170,175,180,175,200,207.5,207.5,207.5,382.5,2004,M
Eugen Bratan (MDA),B,93.1,170,175,180,175,205,210,210,205,380,2004,M
Nikolaos Kourtidis (GRE),A,92.39,167.5,167.5,167.5,167.5,210,215,215,210,377.5,2004,M
Yoandry Hernández (CUB),B,90.94,167.5,167.5,167.5,167.5,207.5,212.5,212.5,207.5,375,2004,M
Tadeusz Drzazga (POL),B,92.43,162.5,167.5,170,170,200,207.5,207.5,200,370,2004,M
Arsen Kasabiev (GEO),B,91.2,150,155,160,155,195,205,207.5,207.5,362.5,2004,M
Alibay Samadov (AZE),B,92.7,155,160,165,165,195,200,—,195,360,2004,M
Asghar Ebrahimi (IRI),B,93.72,165,165,172.5,165,190,200,202.5,190,355,2004,M
Darío Lecman (ARG),B,93.37,155,155,165,155,185,185,—,185,340,2004,M
Furkat Saidov (UZB),B,85.22,135,145,150,145,165,170,175,175,320,2004,M
Isnardo Faro (ARU),B,93.82,132.5,137.5,140,140,167.5,167.5,175,167.5,307.5,2004,M
Giorgi Asanidze (GEO),A,84.28,172.5,177.5,180,177.5,202.5,205,207.5,205,382.5,2004,M
Andrei Rybakou (BLR),B,84.58,175,180,185,180,195,200,202.5,200,380,2004,M
Pyrros Dimas (GRE),A,83.15,170,175,175,175,202.5,205,207.5,202.5,377.5,2004,M
Georgios Markoulas (GRE),A,83.77,167.5,172.5,172.5,167.5,205,205,212.5,205,372.5,2004,M
Yuan Aijun (CHN),A,83.97,167.5,172.5,172.5,167.5,205,215,215,205,372.5,2004,M
Aliaksandr Anishchanka (BLR),A,83.69,170,170,170,170,200,210,210,200,370,2004,M
Tigran Martirosyan (ARM),A,82.02,162.5,162.5,167.5,167.5,200,200,210,200,367.5,2004,M
Song Jong-shik (KOR),A,84.21,160,165,165,160,200,200,200,200,360,2004,M
Héctor Ballesteros (COL),B,83.7,152.5,152.5,157.5,157.5,192.5,197.5,200,197.5,355,2004,M
Oscar Chaplin (USA),B,84.97,160,160,165,160,185,190,197.5,190,350,2004,M
Ulanbek Moldodosov (KGZ),B,83.65,150,150,160,150,175,185,192.5,192.5,342.5,2004,M
Richard Scheer (SEY),B,84.74,140,140,142.5,140,160,165,165,165,305,2004,M
Meamea Thomas (KIR),B,84.24,120,125,130,130,155,162.5,162.5,162.5,292.5,2004,M
Julian McWatt (GUY),B,84.69,115,120,125,125,140,147.5,155,147.5,272.5,2004,M
Taner Sağır (TUR),A,76.1,165,170,172.5,172.5,200,202.5,—,202.5,375,2004,M
Sergey Filimonov (KAZ),A,76.65,165,170,172.5,172.5,195,200,205,200,372.5,2004,M
Reyhan Arabacıoğlu (TUR),A,76.04,165,165,167.5,165,195,200,200,195,360,2004,M
Viktor Mitrou (GRE),A,76.11,160,165,165,160,195,200,205,200,360,2004,M
Mohammad Hossein Barkhah (IRI),A,76.39,157.5,160,160,160,197.5,205,205,197.5,357.5,2004,M
Attila Feri (HUN),A,76.1,155,160,162.5,155,200,205,—,200,355,2004,M
Ivan Stoitsov (BUL),A,76.26,155,155,160,155,200,200,202.5,200,355,2004,M
Nader Sufyan Abbas (QAT),A,76.47,155,160,162.5,160,195,200,202.5,195,355,2004,M
Kim Kwang-hoon (KOR),A,76,155,160,160,155,195,210,210,195,350,2004,M
Sebastian Dogariu (ROM),B,76.96,152.5,155,157.5,155,182.5,187.5,190,190,345,2004,M
Octavio Mejías (VEN),B,76.46,147.5,152.5,155,155,185,185,187.5,187.5,342.5,2004,M
Theoharis Trasha (ALB),B,76.95,155,160,162.5,160,177.5,182.5,182.5,182.5,342.5,2004,M
Ingo Steinhöfel (GER),B,76.43,150,152.5,152.5,150,185,185,190,185,335,2004,M
Rudolf Lukáč (SVK),B,76.53,147.5,152.5,152.5,147.5,187.5,195,195,187.5,335,2004,M
Mohamed Eshtiwi (LBA),B,76.83,145,152.5,155,155,175,180,—,180,335,2004,M
Mohamed El-Tantawy (EGY),B,76.12,140,145,147.5,145,177.5,182.5,185,182.5,327.5,2004,M
Carlos Andica (COL),B,76.57,142.5,142.5,147.5,142.5,172.5,177.5,180,180,322.5,2004,M
Chad Vaughn (USA),B,76.9,145,150,150,145,175,180,180,175,320,2004,M
René Hoch (GER),B,76.41,135,140,142.5,142.5,165,170,170,170,312.5,2004,M
Uati Maposua (SAM),B,76.76,120,120,125,125,147.5,155,160,155,280,2004,M
Zhang Guozheng (CHN),A,68.74,152.5,157.5,160,160,187.5,192.5,192.5,187.5,347.5,2004,M
Lee Bae-young (KOR),A,68.43,147.5,152.5,152.5,152.5,185,190,195,190,342.5,2004,M
Nikolaj Pešalov (CRO),A,68.07,150,150,155,150,182.5,187.5,192.5,187.5,337.5,2004,M
Turan Mirzayev (AZE),A,68.8,147.5,152.5,152.5,147.5,180,185,190,185,332.5,2004,M
Vencelas Dabaya (CMR),A,67.94,140,145,147.5,145,182.5,187.5,192.5,182.5,327.5,2004,M
Siarhei Laurenau (BLR),A,68.89,147.5,152.5,152.5,147.5,170,170,170,170,317.5,2004,M
Romuald Ernault (FRA),B,68.63,142.5,147.5,147.5,142.5,165,170,170,165,307.5,2004,M
Yukio Peter (NRU),B,68.71,130,135,137.5,135,167.5,175,—,167.5,302.5,2004,M
Stănel Stoica (ROM),B,68.96,135,140,142.5,142.5,160,167.5,167.5,160,302.5,2004,M
Kuo Cheng-wei (TPE),B,68.84,132.5,135,135,132.5,165,165,170,165,297.5,2004,M
Julio Idrovo (ECU),B,68.31,135,140,142.5,140,150,155,160,155,295,2004,M
Abdulmohsen Al-Bagir (KSA),B,68.54,127.5,132.5,135,127.5,155,160,160,160,287.5,2004,M
Shi Zhiyong (CHN),A,61.96,147.5,152.5,152.5,152.5,167.5,172.5,175,172.5,325,2004,M
Le Maosheng (CHN),A,61.27,140,140,145,140,172.5,185,185,172.5,312.5,2004,M
Israel José Rubio (VEN),B,61.38,127.5,132.5,135,132.5,157.5,162.5,165,162.5,295,2004,M
Armen Ghazaryan (ARM),A,61.9,130,135,135,135,160,170,170,160,295,2004,M
Gustar Junianto (INA),B,61.27,125,127.5,132.5,132.5,155,160,162.5,160,292.5,2004,M
Samson Matam (FRA),A,61.74,127.5,132.5,132.5,127.5,160,160,167.5,160,287.5,2004,M
Umurbek Bazarbayev (TKM),A,61.68,130,135,135,130,157.5,165,165,157.5,287.5,2004,M
Sunarto Rasidi (INA),B,61.78,125,130,130,125,155,160,162.5,160,285,2004,M
Yang Sheng-hsiung (TPE),B,61.78,115,120,120,120,155,160,165,160,280,2004,M
Manuel Minginfel (FSM),B,61.53,115,115,120,120,147.5,147.5,152.5,152.5,272.5,2004,M
Toshio Imamura (JPN),B,61.66,120,125,125,120,150,155,155,150,270,2004,M
Asif Malikov (AZE),B,61.6,115,115,120,115,145,150,155,150,265,2004,M
Gert Trasha (ALB),B,61.99,110,115,117.5,115,135,140,145,140,255,2004,M
Ioan Veliciu (ROU),B,61.64,105,110,112.5,110,130,135,135,135,245,2004,M
Yacine Zouaki (MAR),B,61.63,95,95,95,95,125,130,135,130,225,2004,M
Halil Mutlu (TUR),A,55.93,130,135,140,135,160,165,168.5,160,295,2004,M
Wu Meijin (CHN),A,55.69,125,130,130,130,157.5,165,165,157.5,287.5,2004,M
Sedat Artuç (TUR),A,55.36,125,127.5,127.5,125,150,155,155,155,280,2004,M
Vitali Dzerbianiou (BLR),A,55.85,120,125,127.5,127.5,145,152.5,152.5,152.5,280,2004,M
Óscar Figueroa (COL),B,55.93,120,125,127.5,125,145,150,155,155,280,2004,M
Adrian Jigău (ROU),A,55.79,120,120,125,120,150,152.5,155,155,275,2004,M
László Tancsics (HUN),A,55.45,117.5,117.5,122.5,122.5,145,145,150,150,272.5,2004,M
Jadi Setiadi (INA),A,53.86,117.5,117.5,122.5,117.5,145,150,155,145,262.5,2004,M
Nelson Castro (COL),B,55.71,112.5,117.5,120,117.5,140,145,150,145,262.5,2004,M
Mohammed Abdul-Monem (IRQ),B,55.97,120,130,130,120,135,140,140,135,255,2004,M
Ahmed Saad (EGY),B,55.92,97.5,102.5,105,102.5,120,127.5,130,130,232.5,2004,M
Hossein Rezazadeh (IRI),A,147.48,205,210,212.5,212.5,250,255,260,260,472.5,2000,M
Ronny Weller (GER),A,146.88,200,207.5,210,210,250,257.5,262.5,257.5,467.5,2000,M
Andrey Chemerkin (RUS),A,174.84,190,200,202.5,202.5,250,260,272.5,260,462.5,2000,M
Jaber Saeed Salem (QAT),A,123.64,200,205,210,205,250,255,260,255,460,2000,M
Kim Tae-hyun (KOR),A,133.36,195,195,200,200,245,260,265,260,460,2000,M
Viktors Ščerbatihs (LAT),A,131.58,197.5,202.5,202.5,202.5,242.5,250,257.5,250,452.5,2000,M
Paweł Najdek (POL),A,134.64,180,185,185,185,240,245,250,240,425,2000,M
Tibor Stark (HUN),B,140.62,180,190,195,195,220,230,—,230,425,2000,M
Hennadiy Krasylnykov (UKR),A,118.02,190,197.5,197.5,190,230,240,—,230,420,2000,M
Shane Hamman (USA),B,163.22,185,190,195,195,225,232.5,232.5,225,420,2000,M
Artem Udachyn (UKR),A,133.32,185,190,195,195,220,220,230,220,415,2000,M
Igor Khalilov (UZB),B,140.12,185,190,190,185,225,235,—,225,410,2000,M
Jon Tecedor (ESP),B,138.34,170,175,180,175,210,215,220,220,395,2000,M
Petr Sobotka (CZE),B,155.06,170,175,180,175,210,215,217.5,217.5,392.5,2000,M
Marius Alecu (ROM),B,116.04,165,170,175,175,215,220,220,215,390,2000,M
Valeri Sarava (GEO),B,115.54,170,170,177.5,170,210,215,220,215,385,2000,M
Nigel Avery (NZL),B,121.98,162.5,167.5,172.5,172.5,200,205,210,210,382.5,2000,M
Anthony Martin (AUS),B,144.34,157.5,162.5,162.5,162.5,200,207.5,215,207.5,370,2000,M
Chris Rae (AUS),B,132.02,155,160,160,155,195,205,212.5,205,360,2000,M
Alesana Sione (ASA),B,130.18,160,160,167.5,160,190,197.5,197.5,197.5,357.5,2000,M
Plaiter Reyes (DOM),B,137,157.5,162.5,162.5,162.5,195,—,—,195,352.5,2000,M
Hossein Tavakkoli (IRI),A,104.7,190,195,195,190,230,235,235,235,425,2000,M
Alan Tsagaev (BUL),A,104.48,180,185,187.5,187.5,230,235,237.5,235,422.5,2000,M
Said Saif Asaad (QAT),A,104.12,185,190,190,190,225,230,235,230,420,2000,M
Ihor Razoronov (UKR),A,104.52,192.5,192.5,195,192.5,227.5,232.5,232.5,232.5,420,2000,M
Evgeny Chigishev (RUS),A,104.38,180,187.5,190,190,217.5,225,230,225,415,2000,M
Alexandru Bratan (MDA),B,104.16,190,195,195,190,220,220,220,220,410,2000,M
Florin Vlad (ROM),B,102.72,175,180,185,180,215,220,225,225,405,2000,M
Grzegorz Kleszcz (POL),A,104.68,180,185,190,185,220,227.5,227.5,220,405,2000,M
Mariusz Jędra (POL),A,104.52,175,180,180,175,215,215,220,215,390,2000,M
Boris Burov (ECU),B,103.42,175,182.5,185,182.5,205,210,210,205,387.5,2000,M
Ramūnas Vyšniauskas (LTU),B,104.16,175,175,175,175,210,215,215,210,385,2000,M
Moreno Boer (ITA),B,104.92,165,165,172.5,165,200,210,210,200,365,2000,M
Tevita Ngalu (TGA),B,103.96,122.5,127.5,130,127.5,162.5,167.5,167.5,167.5,295,2000,M
Kakhi Kakhiashvili (GRE),A,92.06,180,185,187.5,185,220,—,—,220,405,2000,M
Szymon Kołecki (POL),A,93.58,175,180,182.5,182.5,222.5,227.5,—,222.5,405,2000,M
Alexei Petrov (RUS),A,93.3,180,180,180,180,220,222.5,227.5,222.5,402.5,2000,M
Kouroush Bagheri (IRI),A,93.42,180,187.5,190,187.5,215,220,220,215,402.5,2000,M
Vadim Vacarciuc (MDA),A,92.66,172.5,177.5,180,177.5,220,220,225,220,397.5,2000,M
Zoltán Kovács (HUN),A,94,172.5,177.5,180,180,210,217.5,—,217.5,397.5,2000,M
Bünyamin Sudaş (TUR),A,93.36,175,175,177.5,177.5,215,225,225,215,392.5,2000,M
Julio César Luña (VEN),A,93.48,170,175,177.5,177.5,215,220,220,215,392.5,2000,M
Michel Batista (CUB),B,93.18,170,175,180,180,205,205,210,210,385,2000,M
Aleksander Karapetyan (AUS),B,94,170,175,180,175,207.5,212.5,212.5,207.5,382.5,2000,M
Andriy Demchuk (UKR),A,93.2,170,170,175,170,207.5,212.5,212.5,207.5,377.5,2000,M
Slavik Nyu (KAZ),B,92.46,170,175,175,175,195,200,202.5,200,375,2000,M
Andrey Makarov (KAZ),B,92.82,165,170,177.5,177.5,190,197.5,202.5,197.5,375,2000,M
Kiril Kounev (AUS),B,93.32,165,170,172.5,170,205,212.5,212.5,205,375,2000,M
Bakhyt Akhmetov (KGZ),B,93.04,165,170,175,175,192.5,200,202.5,192.5,367.5,2000,M
Pavel Bazuk (BLR),B,90.34,162.5,167.5,170,167.5,197.5,202.5,202.5,197.5,365,2000,M
Lars Betker (GER),B,93.1,165,165,170,165,200,207.5,212.5,200.5,365,2000,M
Sergejs Lazovskis (LAT),B,93.22,155,160,160,155,200,205,205,200,355,2000,M
Pyrros Dimas (GRE),A,84.06,175,175,175,175,210,215,218.5,215,390,2000,M
Marc Huster (GER),A,84.22,172.5,177.5,177.5,177.5,205,210,212.5,212.5,390,2000,M
Giorgi Asanidze (GEO),A,84.7,175,175,180,180,210,215,215,210,390,2000,M
Krzysztof Siemion (POL),A,84.46,162.5,167.5,167.5,167.5,202.5,207.5,212.5,212.5,380,2000,M
Gagik Khachatryan (ARM),A,84.68,170,175,180,175,200,205,210,205,380,2000,M
Sergo Chakhoyan (AUS),A,82.4,170,175,177.5,175,202.5,207.5,207.5,202.5,377.5,2000,M
Christos Spyrou (GRE),A,83.2,170,175,175,170,205,205,210,205,375,2000,M
Ernesto Quiroga (CUB),B,84.8,157.5,162.5,165,165,202.5,207.5,210,210,375,2000,M
Mariusz Rytkowski (POL),B,84.64,160,165,170,170,200,205,205,200,370,2000,M
Valeriu Calancea (ROM),A,84.74,155,160,162.5,160,195,205,205,205,365,2000,M
Joel McKenzie (CUB),B,84.86,157.5,162.5,165,165,192.5,197.5,200,200,365,2000,M
Nizami Pashayev (AZE),B,84.16,155,166,166,155,197.5,203.5,203.5,197.5,357.5,2000,M
Yury Myshkovets (RUS),A,84.82,162.5,167.5,167.5,162.5,180,192.5,197.5,192.5,355,2000,M
Bakhtiyor Nurullaev (UZB),B,84.42,150,155,160,160,180,187.5,192.5,192.5,352.5,2000,M
Mohamed Mousa (EGY),B,84.62,155,160,162.5,160,185,185,192.5,192.5,352.5,2000,M
Mital Sharipov (KGZ),B,84.54,155,160,160,155,185,190,197.5,190,345,2000,M
Sergio Mannironi (ITA),B,83.18,150,150,155,150,180,190,190,180,330,2000,M
Ofisa Ofisa (SAM),B,84.8,135,140,140,135,175,180,180,175,310,2000,M
Khodor Alaywan (LIB),B,81.56,130,135,135,130,150,160,165,160,290,2000,M
Zhan Xugang (CHN),A,76.2,160,165,165,160,202.5,207.5,—,207.5,367.5,2000,M
Viktor Mitrou (GRE),A,76.48,160,165,167.5,165,195,200,202.5,202.5,367.5,2000,M
Arsen Melikyan (ARM),A,76.68,162.5,167.5,167.5,162.5,197.5,202.5,202.5,197.5,365,2000,M
Sergey Filimonov (KAZ),B,76.9,162.5,162.5,167.5,167.5,190,195,200,195,362.5,2000,M
Ilirjan Suli (ALB),A,76.66,162.5,167.5,167.5,162.5,192.5,200,—,192.5,355,2000,M
Jon Chol-ho (PRK),B,76.58,160,162.5,162.5,162.5,190,195,200,190,352.5,2000,M
Ingo Steinhöfel (GER),B,76.58,155,160,160,160,190,195,195,190,350,2000,M
Dmytro Hnidenko (UKR),A,76.58,160,165,165,160,190,195,—,190,350,2000,M
Idalberto Aranda (CUB),B,76.86,145,150,155,150,200,200,208,200,350,2000,M
Mehmet Yılmaz (TUR),B,76.6,155,155,160,160,180,187.5,192.5,187.5,347.5,2000,M
Ruslan Savchenko (UKR),B,76.9,150,157.5,162.5,157.5,180,185,185,180,337.5,2000,M
Oscar Chaplin III (USA),B,76.84,150,155,155,155,180,190,190,180,335,2000,M
Ayhan Çiçek (TUR),B,76.88,140,145,150,145,175,180,185,180,325,2000,M
Damian Brown (AUS),B,76.8,145,145,150,145,170,170,175,175,320,2000,M
Carlos Saurí (PUR),B,76.92,140,145,145,140,165,165,165,165,305,2000,M
Joseph Bellon (SLE),B,76.48,90,92.5,95,95,100,102.5,105,105,200,2000,M
Galabin Boevski (BUL),A,68.78,155,160,162.5,162.5,185,190,196.5,196.5,357.5,2000,M
Georgi Markov (BUL),A,68.92,155,160,165,165,182.5,187.5,192.5,192.5,352.5,2000,M
Siarhei Laurenau (BLR),A,68.42,152.5,157.5,163,157.5,182.5,187.5,187.5,182.5,340,2000,M
Zhang Guozheng (CHN),A,68.64,150,150,152.5,152.5,185,185,190,185,337.5,2000,M
Rudik Petrosyan (ARM),A,68.84,142.5,147.5,150,147.5,182.5,187.5,192.5,187.5,335,2000,M
Valerios Leonidis (GRE),A,68.4,145,150,150,145,185,185,185,185,330,2000,M
Lee Bae-young (KOR),A,68.64,142.5,142.5,147.5,142.5,180,187.5,187.5,187.5,330,2000,M
Kim Hak-bong (KOR),A,68.84,142.5,147.5,150,147.5,180,182.5,182.5,182.5,330,2000,M
Turan Mirzayev (AZE),B,68.5,140,145,147.5,147.5,175,180,182.5,180,327.5,2000,M
Youssef Sbaî (TUN),B,68.48,140,142.5,142.5,142.5,172.5,177.5,180,177.5,320,2000,M
Yoshihisa Miyaji (JPN),B,68.92,145,145,150,150,170,175,175,170,320,2000,M
François Demeure (BEL),B,68.58,140,140,145,140,170,175,175,170,310,2000,M
Giuseppe Ficco (ITA),B,68.92,127.5,132.5,132.5,132.5,165,170,—,170,302.5,2000,M
Yasin Arslan (TUR),B,68.2,130,135,137.5,135,160,165,170,165,300,2000,M
Sébastien Groulx (CAN),B,68.3,125,130,132.5,130,160,167.5,172.5,167.5,297.5,2000,M
Alexis Batista (PAN),B,68.48,112.5,112.5,112.5,112.5,130,130,130,130,242.5,2000,M
Nikolaj Pešalov (CRO),A,61.56,145,150,150,150,175,185,—,175,325,2000,M
Leonidas Sampanis (GRE),A,61.3,142.5,147.5,150,147.5,170,175,175,170,317.5,2000,M
Henadzi Aliashchuk (BLR),A,61.68,137.5,142.5,145,145,172.5,175,177.5,175,317.5,2000,M
Le Maosheng (CHN),A,61.28,140,145,145,140,175,177.5,177.5,177.5,315,2000,M
Mehdi Panzvan (IRI),A,61.52,140,140,145,140,162.5,172.5,172.5,162.5,302.5,2000,M
Hiroshi Ikehata (JPN),B,61.78,135,140,140,135,165,172.5,172.5,165,300,2000,M
Vladimir Popov (MDA),B,61.56,130,135,137.5,135,160,160,160,160,295,2000,M
Elkhan Suleymanov (AZE),B,61.84,130,135,135,130,162.5,162.5,162.5,162.5,292.5,2000,M
Yurik Sarkisian (AUS),A,61.74,125,130,130,125,160,165,167.5,165,290,2000,M
Zoltán Farkas (HUN),A,61.76,127.5,132.5,135,132.5,155,160,160,155,287.5,2000,M
Marcus Stephen (NRU),A,61.6,115,122.5,127.5,122.5,152.5,162.5,167.5,152.5,285,2000,M
Samson N'Dicka-Matam (FRA),B,61.88,125,130,130,125,160,165,165,160,285,2000,M
Dmitriy Lomakin (KAZ),B,61.92,125,130,132.5,132.5,150,155,155,150,282.5,2000,M
Kim Young-tae (KOR),B,61.92,120,120,120,120,155,165,165,155,275,2000,M
Sunday Mathias (NGR),B,61.24,110,115,120,115,150,155,155,150,265,2000,M
Halil Mutlu (TUR),A,55.62,130,135,137.5,137.5,160,167.5,170,167.5,305,2000,M
Wu Wenxiong (CHN),A,55.48,125,130,130,125,157.5,162.5,162.5,162.5,287.5,2000,M
Zhang Xiangxiang (CHN),A,55.94,125,130,130,125,157.5,157.5,162.5,162.5,287.5,2000,M
Wang Shin-yuan (TPE),A,55.38,125,127.5,127.5,125,155,160,162.5,160,285,2000,M
Sergio Álvarez Boulet (CUB),A,55.66,120,120,125,120,150,155,160,155,275,2000,M
Adrian Jigău (ROM),A,55.72,122.5,127.5,127.5,122.5,152.5,157.5,157.5,152.5,275,2000,M
Vitali Dzerbianiou (BLR),B,55.96,115,120,125,125,145,150,155,150,275,2000,M
Yang Chin-yi (TPE),A,55.58,120,125,127.5,120,150,150,155,150,270,2000,M
Oleksandr Likhvald (UKR),A,55.86,120,125,125,120,150,155,155,155,270,2000,M
Hwang Kyu-dong (KOR),A,55.94,110,110,115,115,142.5,147.5,152.5,152.5,267.5,2000,M
Nelson Castro (COL),A,55.32,110,115,117.5,115,140,145,145,145,260,2000,M
Luis Medrano (GUA),B,55.94,115,117.5,117.5,115,137.5,140,142.5,142.5,257.5,2000,M
Koki Tagashira (JPN),B,55.44,107.5,112.5,117.5,112.5,135,140,142.5,140,252.5,2000,M
Eric Bonnel (FRA),A,55.7,112.5,117.5,117.5,112.5,140,147.5,147.5,140,252.5,2000,M
Yasuji Kikuzuma (JPN),B,55.82,105,105,105,105,140,140,145,145,250,2000,M
Thandava Murthy Muthu (IND),B,55.9,105,110,112.5,110,130,135,135,135,245,2000,M
Mehmet Yağcı (AUS),B,55.94,100,100,105,105,125,130,135,130,235,2000,M
Orlando Vásquez (NCA),B,55.84,102.5,107.5,107.5,102.5,130,135,135,130,232.5,2000,M
Gino Soupprayen Padiatty (MRI),B,55.88,90,95,100,95,110,115,117.5,115,210,2000,M
Martinho de Araújo (IOA),B,55.54,65,65,67.5,67.5,85,90,95,90,157.5,2000,M
